tests  |   ✓   1 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 1 (6.9s)
tests  |   ✓   2 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 2 (13.1s)
tests  |   ✓   3 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 1 (11.4s)
tests  |   ✓   4 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 2 (11.7s)
tests  |   ✓   5 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 3 (10.6s)
tests  |   ✓   6 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 4 (17.1s)
tests  |   ✓   7 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 5 (17.5s)
tests  |   ✓   8 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 6 (16.7s)
tests  |   ✓   9 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 7 (15.2s)
tests  |   ✓  10 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 8 (22.8s)
tests  |   ✓  11 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 9 (11.7s)
tests  |   ✓  12 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 10 (15.7s)
tests  |   ✓  13 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 11 (17.3s)
tests  |   ✓  14 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 12 (17.3s)
tests  |   ✓  15 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 1 (9.4s)
tests  |   ✓  16 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 2 (13.6s)
tests  |   ✓  17 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 3 (4.4s)
tests  |   ✘  18 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 4 (1.7m)
tests  |   ✓  19 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 4 (9.6s)
tests  |   ✘  20 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 5 (1.7m)
tests  |   ✓  21 [chrome] › src/tests/admin/business-unit.spec.ts › Business unit › caso 5 (3.3s)
tests  |   -  22 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 1
tests  |   ✘  23 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 2 (1.7m)
tests  |   -  24 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 2
tests  |   ✘  25 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 3 (1.7m)
tests  |   -  26 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 3
tests  |   ✘  27 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 4 (1.7m)
tests  |   -  28 [chrome] › src/tests/admin/custom-fields-managements.spec.ts › Custom fields managements › caso 4
tests  |   ✓  29 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 1 (4.9s)
tests  |   ✓  30 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 2 (4.9s)
tests  |   ✓  31 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 3 (4.9s)
tests  |   ✓  32 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 4 (4.7s)
tests  |   ✓  33 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 5 (3.7s)
tests  |   ✓  34 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 6 (4.1s)
tests  |   ✓  35 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 7 (3.6s)
tests  |   ✓  36 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 8 (3.7s)
tests  |   ✓  37 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 9 (3.1s)
tests  |   ✓  38 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 10 (3.1s)
tests  |   ✓  39 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 11 (4.1s)
tests  |   ✓  40 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 12 (3.1s)
tests  |   ✓  41 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 13 (4.7s)
tests  |   -  42 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 14
tests  |   ✓  43 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 15 (3.7s)
tests  |   ✓  44 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 16 (4.4s)
tests  |   ✓  45 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 17 (7.0s)
tests  |   ✓  46 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 18 (7.4s)
tests  |   ✓  47 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 19 (7.1s)
tests  |   ✓  48 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 20 (6.9s)
tests  |   ✓  49 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 21 (3.6s)
tests  |   ✓  50 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 22 (3.7s)
tests  |   ✓  51 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 23 (3.7s)
tests  |   ✓  52 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 24 (3.7s)
tests  |   ✓  53 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 25 (6.7s)
tests  |   ✓  54 [chrome] › src/tests/admin/custom-fields.spec.ts › Custom fields › caso 26 (5.4s)
tests  |   ✓  55 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 1 (14.9s)
tests  |   ✓  56 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 2 (8.0s)
tests  |   -  57 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 3
tests  |   ✓  58 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 4 (5.1s)
tests  |   ✓  59 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 5 (11.6s)
tests  |   ✓  60 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 6 (20.5s)
tests  |   -  61 [chrome] › src/tests/admin/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 7
tests  |   ✓  62 [chrome] › src/tests/admin/login.spec.ts › Login › caso 1 (2.7s)
tests  |   ✓  63 [chrome] › src/tests/admin/login.spec.ts › Login › caso 2 (2.5s)
tests  |   ✓  64 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 1 (29.4s)
tests  |   ✓  65 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 2 (28.6s)
tests  |   -  66 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 3
tests  |   ✓  67 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 4 (29.1s)
tests  |   ✓  68 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 5 (21.6s)
tests  |   ✓  69 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 6 (21.7s)
tests  |   ✓  70 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 7 (28.6s)
tests  |   ✓  71 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 8 (28.5s)
tests  |   ✓  72 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 9 (28.6s)
tests  |   ✓  73 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 10 (29.6s)
tests  |   ✓  74 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 11 (29.2s)
tests  |   ✓  75 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 12 (23.4s)
tests  |   ✓  76 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 13 (23.8s)
tests  |   ✓  77 [chrome] › src/tests/admin/project-ownership.spec.ts › Project ownership › caso 14 (16.1s)
tests  |   ✓  78 [chrome] › src/tests/admin/role.spec.ts › Role › caso 1 (6.0s)
tests  |   ✓  79 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 1 (3.6s)
tests  |   ✓  80 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 2 (6.0s)
tests  |   -  81 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 3
tests  |   ✓  82 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 4 (5.0s)
tests  |   ✘  83 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 5 (1.7m)
tests  |   ✓  84 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 5 (4.1s)
tests  |   ✓  85 [chrome] › src/tests/admin/user.spec.ts › User › caso 1 (4.0s)
tests  |   ✓  86 [chrome] › src/tests/admin/user.spec.ts › User › caso 2 (3.8s)
tests  |   ✓  87 [chrome] › src/tests/admin/user.spec.ts › User › caso 3 (4.5s)
tests  |   -  88 [chrome] › src/tests/admin/user.spec.ts › User › caso 4
tests  |   ✓  89 [chrome] › src/tests/admin/user.spec.ts › User › caso 5 (9.0s)
tests  |   -  90 [chrome] › src/tests/admin/user.spec.ts › User › caso 6
tests  |   ✘  91 [chrome] › src/tests/admin/user.spec.ts › User › caso 7 (1.7m)
tests  |   ✓  92 [chrome] › src/tests/admin/user.spec.ts › User › caso 7 (11.7s)
tests  |   ✓  93 [chrome] › src/tests/admin/workflow-state-change.spec.ts › Workflow state change › caso 1 (20.9s)
tests  |   ✓  94 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 1 (48.6s)
tests  |   ✓  95 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 2 (40.6s)
tests  |   -  96 [chrome] › src/tests/admin/workflow-state.spec.ts › Workflow state › caso 3
