tests  |   -    1 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 1
tests  |   -    2 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 2
tests  |   -    3 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 3
tests  |   ✓    4 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 4 (5.1s)
tests  |   ✓    5 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 5 (3.8s)
tests  |   ✓    6 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 6 (3.6s)
tests  |   ✓    7 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 7 (6.1s)
tests  |   ✓    8 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 8 (4.4s)
tests  |   ✓    9 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 9 (4.4s)
tests  |   ✓   10 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 10 (5.0s)
tests  |   ✓   11 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 11 (3.7s)
tests  |   ✓   12 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 12 (4.6s)
tests  |   ✓   13 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 13 (4.9s)
tests  |   ✓   14 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 14 (4.3s)
tests  |   ✓   15 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 15 (3.6s)
tests  |   ✓   16 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 16 (3.3s)
tests  |   ✓   17 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 17 (7.0s)
tests  |   ✓   18 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 18 (3.8s)
tests  |   ✓   19 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 19 (3.6s)
tests  |   ✓   20 [chrome] › src/tests/catalog/asset.spec.ts › Asset › caso 20 (3.9s)
tests  |   ✓   21 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 1 (3.7s)
tests  |   ✓   22 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 2 (3.3s)
tests  |   ✓   23 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 3 (3.9s)
tests  |   ✓   24 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 4 (4.3s)
tests  |   ✓   25 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 5 (4.2s)
tests  |   ✓   26 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 6 (4.0s)
tests  |   ✓   27 [chrome] › src/tests/catalog/category.spec.ts › Category › caso 7 (5.1s)
tests  |   ✓   28 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 1 (4.3s)
tests  |   ✓   29 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 2 (5.2s)
tests  |   ✓   30 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 3 (7.1s)
tests  |   ✓   31 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 4 (7.0s)
tests  |   ✓   32 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 5 (7.0s)
tests  |   -   33 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 6
tests  |   ✓   34 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 7 (6.6s)
tests  |   ✓   35 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 8 (9.1s)
tests  |   ✓   36 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 9 (4.3s)
tests  |   ✓   37 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 10 (13.2s)
tests  |   ✓   38 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 11 (4.5s)
tests  |   ✓   39 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 12 (5.7s)
tests  |   -   40 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 13
tests  |   ✓   41 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 14 (9.2s)
tests  |   ✓   42 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 15 (6.4s)
tests  |   ✓   43 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 16 (6.3s)
tests  |   ✓   44 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 17 (5.8s)
tests  |   ✓   45 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 18 (21.7s)
tests  |   -   46 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 19
tests  |   ✓   47 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 20 (19.1s)
tests  |   ✓   48 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 21 (20.4s)
tests  |   -   49 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 22
tests  |   -   50 [chrome] › src/tests/catalog/component.spec.ts › Component › caso 23
tests  |   ✓   51 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 1 (12.3s)
tests  |   ✓   52 [chrome] › src/tests/catalog/automations.spec.ts › Automations › caso 2 (10.3s)
tests  |   ✓   53 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 1 (20.8s)
tests  |   -   54 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 2
tests  |   ✓   55 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 3 (5.0s)
tests  |   ✓   56 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 4 (6.7s)
tests  |   ✓   57 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 5 (3.3s)
tests  |   ✓   58 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 6 (7.2s)
tests  |   ✓   59 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 7 (3.7s)
tests  |   ✓   60 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 8 (3.3s)
tests  |   ✓   61 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 9 (3.6s)
tests  |   ✓   62 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 10 (3.8s)
tests  |   ✓   63 [chrome] › src/tests/catalog/library.spec.ts › Library › caso 11 (4.0s)
