tests  |   ✓   1 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 1 (30.8s)
tests  |   ✓   2 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 2 (17.1s)
tests  |   ✓   3 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 3 (15.1s)
tests  |   ✓   4 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 4 (12.3s)
tests  |   ✓   5 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 5 (14.7s)
tests  |   ✓   6 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 6 (17.6s)
tests  |   -   7 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 7
tests  |   ✓   8 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 8 (18.0s)
tests  |   ✓   9 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 9 (17.5s)
tests  |   ✓  10 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 10 (10.7s)
tests  |   ✓  11 [chrome] › src/tests/projects-2/projects.spec.ts › Projects › caso 11 (12.0s)
tests  |   ✓  12 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 1 (4.8s)
tests  |   ✓  13 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 2 (22.5s)
tests  |   ✓  14 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 3 (58.2s)
tests  |   ✓  15 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 4 (6.5s)
tests  |   ✓  16 [chrome] › src/tests/projects-2/templates.spec.ts › Templates › caso 5 (20.3s)
tests  |   -  17 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 1
tests  |   ✓  18 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 2 (36.8s)
tests  |   ✓  19 [chrome] › src/tests/projects-2/records.spec.ts › Records › caso 3 (39.2s)
tests  |   ✓  20 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 1 (17.2s)
tests  |   ✓  21 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 2 (17.6s)
tests  |   ✓  22 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 3 (31.3s)
tests  |   ✓  23 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 4 (20.1s)
tests  |   ✓  24 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 5 (28.5s)
tests  |   -  25 [chrome] › src/tests/projects-2/versions.spec.ts › Versions › caso 6
