tests  |   ✓   1 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 1 (6.7s)
tests  |   ✓   2 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 2 (13.5s)
tests  |   ✓   3 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 1 (11.6s)
tests  |   ✓   4 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 2 (11.9s)
tests  |   ✓   5 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 3 (11.1s)
tests  |   ✓   6 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 4 (17.6s)
tests  |   ✓   7 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 5 (14.2s)
tests  |   ✓   8 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 6 (16.6s)
tests  |   ✓   9 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 7 (15.2s)
tests  |   ✓  10 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 8 (23.2s)
tests  |   ✓  11 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 9 (12.1s)
tests  |   ✓  12 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 10 (17.0s)
tests  |   ✓  13 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 11 (17.0s)
tests  |   ✓  14 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 12 (17.8s)
tests  |   ✓  15 [chrome] › src/tests/admin/category.spec.ts › Category › caso 1 (3.6s)
tests  |   ✓  16 [chrome] › src/tests/admin/category.spec.ts › Category › caso 2 (3.3s)
tests  |   ✓  17 [chrome] › src/tests/admin/category.spec.ts › Category › caso 3 (4.0s)
tests  |   ✓  18 [chrome] › src/tests/admin/category.spec.ts › Category › caso 4 (4.2s)
tests  |   ✓  19 [chrome] › src/tests/admin/category.spec.ts › Category › caso 5 (3.7s)
tests  |   ✓  20 [chrome] › src/tests/admin/category.spec.ts › Category › caso 6 (4.8s)
tests  |   ✓  21 [chrome] › src/tests/admin/category.spec.ts › Category › caso 7 (4.7s)
tests  |   ✓  22 [chrome] › src/tests/admin/dashboard-empty.spec.ts › Dashboard empty › caso 1 (3.4s)
tests  |   ✓  23 [chrome] › src/tests/admin/dashboard-empty.spec.ts › Dashboard empty › caso 2 (5.2s)
tests  |   ✓  24 [chrome] › src/tests/admin/dashboard-empty.spec.ts › Dashboard empty › caso 3 (22.5s)
tests  |   ✓  25 [chrome] › src/tests/admin/login.spec.ts › Login › caso 1 (2.8s)
tests  |   ✓  26 [chrome] › src/tests/admin/login.spec.ts › Login › caso 2 (2.6s)
tests  |   ✓  27 [chrome] › src/tests/admin/content-hub.spec.ts › Content hub › caso 1 (5.2s)
tests  |   -  28 [chrome] › src/tests/admin/content-hub.spec.ts › Content hub › caso 2
tests  |   ✓  29 [chrome] › src/tests/admin/record.spec.ts › Record › caso 1 (13.9s)
tests  |   ✓  30 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 1 (3.9s)
tests  |   ✓  31 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 2 (6.6s)
tests  |   -  32 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 3
tests  |   ✓  33 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 4 (4.8s)
tests  |   ✘  34 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 5 (1.7m)
tests  |   ✓  35 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 5 (4.6s)
