tests  |   -   1 [chrome] › src/tests/admin/archive-projects/archive-projects-restore-and-delete.spec.ts › Archive projects restore and delete › caso 1
tests  |   -   2 [chrome] › src/tests/admin/archive-projects/archive-projects-restore-and-delete.spec.ts › Archive projects restore and delete › caso 2
tests  |   ✓   3 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 3 (3.6s)
tests  |   ✓   4 [chrome] › src/tests/admin/audit-log.spec.ts › Audit log › caso 4 (4.8s)
tests  |   ✓   5 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 13 (15.7s)
tests  |   ✓   6 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 14 (10.5s)
tests  |   ✓   7 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 15 (10.7s)
tests  |   ✓   8 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 16 (22.2s)
tests  |   ✓   9 [chrome] › src/tests/admin/business-unit-permissions-bulk.spec.ts › Business unit permissions bulk › caso 17 (16.8s)
tests  |   ✓  10 [chrome] › src/tests/admin/category.spec.ts › Category › caso 8 (4.0s)
tests  |   ✓  11 [chrome] › src/tests/admin/category.spec.ts › Category › caso 9 (3.8s)
tests  |   -  12 [chrome] › src/tests/admin/category.spec.ts › Category › caso 10
tests  |   ✓  13 [chrome] › src/tests/admin/block-with-user.spec.ts › Block with user › caso 1 (30.1s)
tests  |   ✓  14 [chrome] › src/tests/admin/header.spec.ts › Header › caso 1 (3.1s)
tests  |   ✓  15 [chrome] › src/tests/admin/login.spec.ts › Login › caso 3 (2.6s)
tests  |   ✘  16 [chrome] › src/tests/admin/login.spec.ts › Login › caso 4 (1.7m)
tests  |   ✓  17 [chrome] › src/tests/admin/login.spec.ts › Login › caso 4 (2.7s)
tests  |   ✓  18 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 1 (4.1s)
tests  |   ✓  19 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 2 (4.1s)
tests  |   ✓  20 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 3 (4.1s)
tests  |   ✓  21 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 4 (4.1s)
tests  |   ✓  22 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 5 (5.0s)
tests  |   ✓  23 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 6 (4.8s)
tests  |   ✓  24 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 7 (4.8s)
tests  |   ✓  25 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 8 (4.7s)
tests  |   -  26 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 9
tests  |   -  27 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 10
tests  |   -  28 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 11
tests  |   -  29 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 12
tests  |   -  30 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 13
tests  |   -  31 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 14
tests  |   ✓  32 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 15 (5.4s)
tests  |   ✓  33 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 16 (5.2s)
tests  |   ✓  34 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 17 (5.3s)
tests  |   ✓  35 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 18 (5.4s)
tests  |   ✓  36 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 19 (5.3s)
tests  |   ✓  37 [chrome] › src/tests/admin/redirection.spec.ts › Redirection › caso 20 (5.2s)
tests  |   ✓  38 [chrome] › src/tests/admin/content-hub.spec.ts › Content hub › caso 3 (18.4s)
tests  |   -  39 [chrome] › src/tests/admin/content-hub.spec.ts › Content hub › caso 4
tests  |   ✓  40 [chrome] › src/tests/admin/content-hub.spec.ts › Content hub › caso 5 (20.0s)
tests  |   ✓  41 [chrome] › src/tests/admin/content-hub.spec.ts › Content hub › caso 6 (3.9s)
tests  |   ✓  42 [chrome] › src/tests/admin/record.spec.ts › Record › caso 2 (10.0s)
tests  |   ✓  43 [chrome] › src/tests/admin/record.spec.ts › Record › caso 3 (9.8s)
tests  |   ✓  44 [chrome] › src/tests/admin/record.spec.ts › Record › caso 4 (9.2s)
tests  |   ✓  45 [chrome] › src/tests/admin/record.spec.ts › Record › caso 5 (18.1s)
tests  |   ✓  46 [chrome] › src/tests/admin/record.spec.ts › Record › caso 6 (8.0s)
tests  |   ✓  47 [chrome] › src/tests/admin/record.spec.ts › Record › caso 7 (10.7s)
tests  |   -  48 [chrome] › src/tests/admin/records.spec.ts › Records › caso 1
tests  |   ✓  49 [chrome] › src/tests/admin/records.spec.ts › Records › caso 2 (32.0s)
tests  |   ✓  50 [chrome] › src/tests/admin/records.spec.ts › Records › caso 3 (37.5s)
tests  |   ✓  51 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 6 (3.2s)
tests  |   ✓  52 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 7 (3.3s)
tests  |   ✓  53 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 8 (3.5s)
tests  |   ✓  54 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 9 (3.9s)
tests  |   -  55 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 10
tests  |   ✘  56 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 11 (2.4s)
tests  |   ✓  57 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 11 (5.2s)
tests  |   ✓  58 [chrome] › src/tests/admin/user-profile.spec.ts › User profile › caso 12 (3.7s)
tests  |   ✓  59 [chrome] › src/tests/admin/versions.spec.ts › Versions › caso 1 (17.7s)
tests  |   ✓  60 [chrome] › src/tests/admin/versions.spec.ts › Versions › caso 2 (17.8s)
tests  |   ✓  61 [chrome] › src/tests/admin/versions.spec.ts › Versions › caso 3 (34.3s)
