tests  |   -   1 [chrome] › src/tests/catalog/configuration.spec.ts › Configuration › caso 1
tests  |   -   2 [chrome] › src/tests/catalog/configuration.spec.ts › Configuration › caso 2
tests  |   -   3 [chrome] › src/tests/catalog/configuration.spec.ts › Configuration › caso 3
tests  |   ✓   4 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 1 (18.7s)
tests  |   ✓   5 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 2 (15.3s)
tests  |   ✓   6 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 3 (19.3s)
tests  |   ✓   7 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 4 (16.6s)
tests  |   ✓   8 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 5 (16.3s)
tests  |   ✓   9 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 6 (18.7s)
tests  |   -  10 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 7
tests  |   -  11 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 8
tests  |   -  12 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 9
tests  |   ✓  13 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 10 (18.5s)
tests  |   ✓  14 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 11 (17.6s)
tests  |   ✓  15 [chrome] › src/tests/catalog/floating-modals.spec.ts › Floating modals › caso 12 (18.9s)
tests  |   ✓  16 [chrome] › src/tests/catalog/issue-tracker-profiles.spec.ts › Issue tracker profiles › caso 1 (31.4s)
tests  |   ✓  17 [chrome] › src/tests/catalog/issue-tracker-profiles.spec.ts › Issue tracker profiles › caso 2 (19.5s)
tests  |   ✓  18 [chrome] › src/tests/catalog/issue-tracker-profiles.spec.ts › Issue tracker profiles › caso 3 (36.9s)
tests  |   ✓  19 [chrome] › src/tests/catalog/navigation.spec.ts › Navigation › caso 1 (9.5s)
tests  |   ✓  20 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 1 (32.3s)
tests  |   ✓  21 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 2 (12.7s)
tests  |   ✓  22 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 3 (12.2s)
tests  |   ✓  23 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 4 (11.8s)
tests  |   ✓  24 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 5 (12.5s)
tests  |   ✓  25 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 6 (18.9s)
tests  |   -  26 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 7
tests  |   ✓  27 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 8 (14.2s)
tests  |   ✓  28 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 9 (17.4s)
tests  |   ✓  29 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 10 (10.4s)
tests  |   ✓  30 [chrome] › src/tests/catalog/projects.spec.ts › Projects › caso 11 (12.4s)
tests  |   -  31 [chrome] › src/tests/catalog/questionnaire.spec.ts › Questionnaire › caso 4
tests  |   ✓  32 [chrome] › src/tests/catalog/reports-generation.spec.ts › Reports generation › caso 18 (22.3s)
tests  |   ✓  33 [chrome] › src/tests/catalog/reports-generation.spec.ts › Reports generation › caso 19 (21.7s)
tests  |   ✓  34 [chrome] › src/tests/catalog/reports-generation.spec.ts › Reports generation › caso 20 (23.0s)
tests  |   ✓  35 [chrome] › src/tests/catalog/reports-generation.spec.ts › Reports generation › caso 21 (22.9s)
tests  |   ✓  36 [chrome] › src/tests/catalog/reports-generation.spec.ts › Reports generation › caso 22 (30.6s)
tests  |   ✓  37 [chrome] › src/tests/catalog/support.spec.ts › Support › caso 1 (4.0s)
tests  |   ✓  38 [chrome] › src/tests/catalog/user-interface.spec.ts › User interface › caso 1 (3.9s)
tests  |   ✓  39 [chrome] › src/tests/catalog/findings.spec.ts › Findings › caso 1 (12.8s)
tests  |   ✓  40 [chrome] › src/tests/catalog/findings.spec.ts › Findings › caso 2 (12.3s)
tests  |   ✓  41 [chrome] › src/tests/catalog/findings.spec.ts › Findings › caso 3 (14.3s)
tests  |   ✓  42 [chrome] › src/tests/catalog/findings.spec.ts › Findings › caso 4 (14.1s)
tests  |   ✓  43 [chrome] › src/tests/catalog/findings.spec.ts › Findings › caso 5 (12.9s)
tests  |   ✓  44 [chrome] › src/tests/catalog/findings.spec.ts › Findings › caso 6 (13.4s)
