tests  |   -   1 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 1
tests  |   ✘   2 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 2 (1.7m)
tests  |   -   3 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 2
tests  |   ✘   4 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 3 (1.7m)
tests  |   -   5 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 3
tests  |   ✘   6 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 4 (1.7m)
tests  |   -   7 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 4
tests  |   ✓   8 [chrome] › src/tests/editor/library.spec.ts › Library › caso 1 (20.7s)
tests  |   -   9 [chrome] › src/tests/editor/library.spec.ts › Library › caso 2
tests  |   ✓  10 [chrome] › src/tests/editor/library.spec.ts › Library › caso 3 (5.1s)
tests  |   ✓  11 [chrome] › src/tests/editor/library.spec.ts › Library › caso 4 (6.7s)
tests  |   ✓  12 [chrome] › src/tests/editor/library.spec.ts › Library › caso 5 (3.6s)
tests  |   ✓  13 [chrome] › src/tests/editor/library.spec.ts › Library › caso 6 (7.6s)
tests  |   ✓  14 [chrome] › src/tests/editor/library.spec.ts › Library › caso 7 (4.0s)
tests  |   ✓  15 [chrome] › src/tests/editor/library.spec.ts › Library › caso 8 (3.6s)
tests  |   ✓  16 [chrome] › src/tests/editor/library.spec.ts › Library › caso 9 (3.4s)
tests  |   ✓  17 [chrome] › src/tests/editor/library.spec.ts › Library › caso 10 (4.0s)
tests  |   ✓  18 [chrome] › src/tests/editor/library.spec.ts › Library › caso 11 (3.9s)
tests  |   ✓  19 [chrome] › src/tests/editor/library.spec.ts › Library › caso 12 (4.8s)
tests  |   ✓  20 [chrome] › src/tests/editor/library.spec.ts › Library › caso 13 (4.5s)
tests  |   ✓  21 [chrome] › src/tests/editor/library.spec.ts › Library › caso 14 (4.3s)
tests  |   ✓  22 [chrome] › src/tests/editor/library.spec.ts › Library › caso 15 (10.3s)
tests  |   ✓  23 [chrome] › src/tests/editor/role.spec.ts › Role › caso 1 (5.9s)
tests  |   ✓  24 [chrome] › src/tests/editor/templates-dashboard.spec.ts › Templates dashboard › caso 1 (8.9s)
tests  |   ✓  25 [chrome] › src/tests/editor/templates-dashboard.spec.ts › Templates dashboard › caso 2 (10.9s)
tests  |   ✓  26 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 1 (3.6s)
tests  |   ✘  27 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 2 (1.7m)
tests  |   ✓  28 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 2 (8.2s)
tests  |   ✓  29 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 3 (7.0s)
tests  |   ✓  30 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 4 (11.7s)
tests  |   ✓  31 [chrome] › src/tests/editor/workflow-state.spec.ts › Workflow state › caso 1 (48.9s)
tests  |   ✓  32 [chrome] › src/tests/editor/workflow-state.spec.ts › Workflow state › caso 2 (41.9s)
tests  |   -  33 [chrome] › src/tests/editor/workflow-state.spec.ts › Workflow state › caso 3
