tests  |   ✓   1 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 5 (9.7s)
tests  |   ✘   2 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 6 (1.7m)
tests  |   ✓   3 [chrome] › src/tests/editor/custom-fields-managements.spec.ts › Custom fields managements › caso 6 (10.3s)
tests  |   -   4 [chrome] › src/tests/editor/issue-trackers-profiles-empty.spec.ts › Issue trackers profiles empty › caso 1
tests  |   ✓   5 [chrome] › src/tests/editor/library.spec.ts › Library › caso 16 (9.7s)
tests  |   ✓   6 [chrome] › src/tests/editor/library.spec.ts › Library › caso 17 (5.3s)
tests  |   ✓   7 [chrome] › src/tests/editor/library.spec.ts › Library › caso 18 (4.7s)
tests  |   ✓   8 [chrome] › src/tests/editor/library.spec.ts › Library › caso 19 (9.5s)
tests  |   ✓   9 [chrome] › src/tests/editor/library.spec.ts › Library › caso 20 (8.0s)
tests  |   ✓  10 [chrome] › src/tests/editor/library.spec.ts › Library › caso 21 (8.6s)
tests  |   ✓  11 [chrome] › src/tests/editor/library.spec.ts › Library › caso 22 (12.8s)
tests  |   ✓  12 [chrome] › src/tests/editor/library.spec.ts › Library › caso 23 (4.4s)
tests  |   ✓  13 [chrome] › src/tests/editor/library.spec.ts › Library › caso 24 (8.7s)
tests  |   ✓  14 [chrome] › src/tests/editor/project-import.spec.ts › Project import › caso 1 (9.9s)
tests  |   ✓  15 [chrome] › src/tests/editor/project-import.spec.ts › Project import › caso 2 (9.9s)
tests  |   ✓  16 [chrome] › src/tests/editor/project-import.spec.ts › Project import › caso 3 (9.1s)
tests  |   ✓  17 [chrome] › src/tests/editor/project-import.spec.ts › Project import › caso 4 (9.2s)
tests  |   ✓  18 [chrome] › src/tests/editor/project-import.spec.ts › Project import › caso 5 (8.4s)
tests  |   ✓  19 [chrome] › src/tests/editor/project-import.spec.ts › Project import › caso 6 (8.2s)
tests  |   ✓  20 [chrome] › src/tests/editor/project-import.spec.ts › Project import › caso 7 (13.3s)
tests  |   ✓  21 [chrome] › src/tests/editor/project-import.spec.ts › Project import › caso 8 (14.5s)
tests  |   ✓  22 [chrome] › src/tests/editor/questionnaire.spec.ts › Questionnaire › caso 1 (12.8s)
tests  |   ✓  23 [chrome] › src/tests/editor/questionnaire.spec.ts › Questionnaire › caso 2 (21.4s)
tests  |   -  24 [chrome] › src/tests/editor/role.spec.ts › Role › caso 2
tests  |   ✓  25 [chrome] › src/tests/editor/role.spec.ts › Role › caso 3 (14.0s)
tests  |   ✓  26 [chrome] › src/tests/editor/role.spec.ts › Role › caso 4 (4.7s)
tests  |   ✓  27 [chrome] › src/tests/editor/templates-dashboard.spec.ts › Templates dashboard › caso 3 (11.5s)
tests  |   ✓  28 [chrome] › src/tests/editor/templates-dashboard.spec.ts › Templates dashboard › caso 4 (10.0s)
tests  |   -  29 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 5
tests  |   ✓  30 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 6 (13.2s)
tests  |   ✓  31 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 7 (6.0s)
tests  |   ✓  32 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 8 (6.3s)
tests  |   ✓  33 [chrome] › src/tests/editor/finding.spec.ts › Finding › caso 9 (6.1s)
tests  |   ✓  34 [chrome] › src/tests/editor/workflow-state.spec.ts › Workflow state › caso 4 (33.2s)
tests  |   ✓  35 [chrome] › src/tests/editor/workflow-state.spec.ts › Workflow state › caso 5 (28.1s)
tests  |   ✓  36 [chrome] › src/tests/editor/workflow-state.spec.ts › Workflow state › caso 6 (4.7s)
