tests  |   ✓   1 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 1 (13.1s)
tests  |   ✓   2 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 2 (10.3s)
tests  |   ✓   3 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 1 (5.2s)
tests  |   ✓   4 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 2 (5.0s)
tests  |   ✓   5 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 3 (4.9s)
tests  |   ✓   6 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 4 (5.0s)
tests  |   ✓   7 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 5 (3.8s)
tests  |   ✓   8 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 6 (4.0s)
tests  |   ✓   9 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 7 (4.4s)
tests  |   ✓  10 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 8 (4.0s)
tests  |   ✓  11 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 9 (3.5s)
tests  |   ✓  12 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 10 (3.5s)
tests  |   ✓  13 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 11 (4.1s)
tests  |   ✓  14 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 12 (3.1s)
tests  |   ✓  15 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 13 (4.0s)
tests  |   -  16 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 14
tests  |   ✓  17 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 15 (4.4s)
tests  |   ✓  18 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 16 (4.3s)
tests  |   ✓  19 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 17 (7.0s)
tests  |   ✓  20 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 18 (7.4s)
tests  |   ✓  21 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 19 (7.1s)
tests  |   ✓  22 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 20 (6.9s)
tests  |   ✓  23 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 21 (3.7s)
tests  |   ✓  24 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 22 (3.8s)
tests  |   ✓  25 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 23 (3.3s)
tests  |   ✓  26 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 24 (3.7s)
tests  |   ✓  27 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 25 (7.2s)
tests  |   ✓  28 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 26 (5.1s)
tests  |   ✓  29 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 1 (15.2s)
tests  |   ✓  30 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 2 (7.3s)
tests  |   -  31 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 3
tests  |   ✓  32 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 4 (5.5s)
tests  |   ✓  33 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 5 (12.7s)
tests  |   ✘  34 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 6 (1.7m)
tests  |   ✓  35 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 6 (20.8s)
tests  |   -  36 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 7
tests  |   ✓  37 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 1 (28.7s)
tests  |   ✓  38 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 2 (27.5s)
tests  |   -  39 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 3
tests  |   ✓  40 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 4 (30.3s)
tests  |   ✓  41 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 5 (23.2s)
tests  |   ✓  42 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 6 (21.9s)
tests  |   ✓  43 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 7 (28.3s)
tests  |   ✓  44 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 8 (28.7s)
tests  |   ✓  45 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 9 (28.6s)
tests  |   ✓  46 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 10 (28.8s)
tests  |   ✓  47 [chrome] › src/tests/projects-2/project-ownership.spec.ts › Project ownership › caso 11 (29.5s)
