tests  |   ✓   1 [chrome] › src/tests/projects-2/artifact.spec.ts › Artifact › caso 1 (18.1s)
tests  |   ✓   2 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 3 (10.4s)
tests  |   ✓   3 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 4 (9.6s)
tests  |   ✓   4 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 5 (7.0s)
tests  |   -   5 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 6
tests  |   ✓   6 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 7 (7.9s)
tests  |   ✓   7 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 8 (7.8s)
tests  |   ✓   8 [chrome] › src/tests/projects-2/automations.spec.ts › Automations › caso 9 (9.1s)
tests  |   ✓   9 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 27 (4.4s)
tests  |   ✓  10 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 28 (3.9s)
tests  |   ✓  11 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 29 (4.5s)
tests  |   ✓  12 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 30 (4.3s)
tests  |   ✓  13 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 31 (4.3s)
tests  |   ✓  14 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 32 (4.8s)
tests  |   ✓  15 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 33 (5.0s)
tests  |   ✓  16 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 34 (5.0s)
tests  |   ✓  17 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 35 (3.9s)
tests  |   ✓  18 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 36 (4.2s)
tests  |   ✓  19 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 37 (4.2s)
tests  |   ✓  20 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 38 (4.1s)
tests  |   ✓  21 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 39 (4.2s)
tests  |   ✓  22 [chrome] › src/tests/projects-2/custom-fields.spec.ts › Custom fields › caso 40 (6.9s)
tests  |   ✓  23 [chrome] › src/tests/projects-2/block-inspector.spec.ts › Block inspector › caso 1 (23.0s)
tests  |   -  24 [chrome] › src/tests/projects-2/block-inspector.spec.ts › Block inspector › caso 2
tests  |   ✓  25 [chrome] › src/tests/projects-2/block-inspector.spec.ts › Block inspector › caso 3 (26.2s)
tests  |   ✓  26 [chrome] › src/tests/projects-2/block-inspector.spec.ts › Block inspector › caso 4 (26.5s)
tests  |   -  27 [chrome] › src/tests/projects-2/block-inspector.spec.ts › Block inspector › caso 5
tests  |   ✓  28 [chrome] › src/tests/projects-2/email.spec.ts › Email › caso 1 (3.8s)
tests  |   ✓  29 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 8 (3.9s)
tests  |   ✓  30 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 9 (4.6s)
tests  |   ✓  31 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 10 (4.1s)
tests  |   ✓  32 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 11 (26.0s)
tests  |   ✓  33 [chrome] › src/tests/projects-2/issue-trackers-profiles.spec.ts › Issue trackers profiles › caso 12 (31.2s)
tests  |   ✓  34 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 22 (4.1s)
tests  |   ✓  35 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 23 (4.1s)
tests  |   ✓  36 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 24 (3.6s)
tests  |   ✓  37 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 25 (3.7s)
tests  |   ✓  38 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 26 (3.5s)
tests  |   ✓  39 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 27 (3.2s)
tests  |   ✓  40 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 28 (3.5s)
tests  |   ✓  41 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 29 (4.4s)
tests  |   ✓  42 [chrome] › src/tests/projects-2/zone.spec.ts › Zone › caso 30 (4.2s)
