tests  |   ✓   1 [chrome] › src/tests/reporting/analytics-settings.spec.ts › Analytics settings › caso 1 (3.9s)
tests  |   ✓   2 [chrome] › src/tests/reporting/api.spec.ts › Api › caso 1 (3.9s)
tests  |   -   3 [chrome] › src/tests/reporting/archive-projects/archive-projects-without-archived-license.spec.ts › Archive projects without archived license › caso 7
tests  |   -   4 [chrome] › src/tests/reporting/archive-projects/archive-projects-without-archived-license.spec.ts › Archive projects without archived license › caso 8
tests  |   ✓   5 [chrome] › src/tests/reporting/component.spec.ts › Component › caso 24 (4.9s)
tests  |   ✓   6 [chrome] › src/tests/reporting/component.spec.ts › Component › caso 25 (8.6s)
tests  |   ✓   7 [chrome] › src/tests/reporting/component.spec.ts › Component › caso 26 (7.5s)
tests  |   ✓   8 [chrome] › src/tests/reporting/component.spec.ts › Component › caso 27 (6.2s)
tests  |   ✓   9 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 1 (15.3s)
tests  |   ✓  10 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 2 (13.0s)
tests  |   ✘  11 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 3 (1.7m)
tests  |   ✓  12 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 3 (20.8s)
tests  |   ✓  13 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 4 (23.6s)
tests  |   ✓  14 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 5 (15.6s)
tests  |   ✓  15 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 6 (50.1s)
tests  |   ✓  16 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 7 (19.3s)
tests  |   ✓  17 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 8 (32.2s)
tests  |   ✓  18 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 9 (19.5s)
tests  |   ✓  19 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 10 (25.2s)
tests  |   ✓  20 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 11 (26.0s)
tests  |   ✓  21 [chrome] › src/tests/reporting/automations.spec.ts › Automations › caso 12 (22.6s)
tests  |   ✓  22 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 1 (31.1s)
tests  |   ✓  23 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 2 (23.3s)
tests  |   ✓  24 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 3 (21.2s)
tests  |   ✓  25 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 4 (22.6s)
tests  |   ✓  26 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 5 (11.6s)
tests  |   ✓  27 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 6 (13.1s)
tests  |   ✓  28 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 7 (11.4s)
tests  |   ✓  29 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 8 (11.6s)
tests  |   ✓  30 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 9 (20.6s)
tests  |   ✓  31 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 10 (19.6s)
tests  |   ✓  32 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 11 (20.3s)
tests  |   ✓  33 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 12 (9.6s)
tests  |   ✓  34 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 13 (45.3s)
tests  |   ✓  35 [chrome] › src/tests/reporting/zone-block.spec.ts › Zone block › caso 14 (6.6s)
tests  |   ✓  36 [chrome] › src/tests/reporting/features.spec.ts › Features › caso 1 (3.9s)
tests  |   -  37 [chrome] › src/tests/reporting/form-template.spec.ts › Form template › caso 1
tests  |   ✓  38 [chrome] › src/tests/reporting/restore-previous-board.spec.ts › Restore previous board › caso 1 (20.7s)
tests  |   ✓  39 [chrome] › src/tests/reporting/templates.spec.ts › Templates › caso 1 (4.7s)
tests  |   ✓  40 [chrome] › src/tests/reporting/templates.spec.ts › Templates › caso 2 (22.1s)
tests  |   -  41 [chrome] › src/tests/reporting/templates.spec.ts › Templates › caso 3
tests  |   ✓  42 [chrome] › src/tests/reporting/templates.spec.ts › Templates › caso 4 (6.3s)
tests  |   ✓  43 [chrome] › src/tests/reporting/templates.spec.ts › Templates › caso 5 (21.9s)
