tests  |   -   1 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 1
tests  |   -   2 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 2
tests  |   -   3 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 3
tests  |   ✓   4 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 4 (5.1s)
tests  |   ✓   5 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 5 (3.8s)
tests  |   ✓   6 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 6 (3.7s)
tests  |   ✓   7 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 7 (6.5s)
tests  |   ✓   8 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 8 (3.8s)
tests  |   ✓   9 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 9 (4.3s)
tests  |   ✓  10 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 10 (4.2s)
tests  |   ✓  11 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 11 (3.6s)
tests  |   ✓  12 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 12 (4.4s)
tests  |   ✓  13 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 13 (4.3s)
tests  |   ✓  14 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 14 (4.2s)
tests  |   ✓  15 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 15 (3.8s)
tests  |   ✓  16 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 16 (3.2s)
tests  |   ✓  17 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 17 (7.0s)
tests  |   ✓  18 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 18 (3.5s)
tests  |   ✓  19 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 19 (3.4s)
tests  |   ✓  20 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 20 (3.7s)
tests  |   -  21 [chrome] › src/tests/rules/dashboard-cross-domain.spec.ts › Dashboard cross domain › caso 1
tests  |   -  22 [chrome] › src/tests/rules/dashboard-cross-domain.spec.ts › Dashboard cross domain › caso 2
tests  |   -  23 [chrome] › src/tests/rules/dashboard-cross-domain.spec.ts › Dashboard cross domain › caso 3
tests  |   -  24 [chrome] › src/tests/rules/dashboard-cross-domain.spec.ts › Dashboard cross domain › caso 4
tests  |   -  25 [chrome] › src/tests/rules/dashboard-cross-domain.spec.ts › Dashboard cross domain › caso 5
tests  |   ✓  26 [chrome] › src/tests/rules/project-dashboard.spec.ts › Project dashboard › caso 1 (11.4s)
tests  |   ✓  27 [chrome] › src/tests/rules/project-list.spec.ts › Project list › caso 1 (3.8s)
tests  |   ✓  28 [chrome] › src/tests/rules/project-list.spec.ts › Project list › caso 2 (3.9s)
tests  |   ✓  29 [chrome] › src/tests/rules/project-list.spec.ts › Project list › caso 3 (9.4s)
tests  |   ✓  30 [chrome] › src/tests/rules/project-list.spec.ts › Project list › caso 4 (4.0s)
tests  |   ✓  31 [chrome] › src/tests/rules/score-calculations.spec.ts › Score calculations › caso 1 (4.2s)
tests  |   ✘  32 [chrome] › src/tests/rules/score-calculations.spec.ts › Score calculations › caso 2 (1.7m)
tests  |   ✓  33 [chrome] › src/tests/rules/score-calculations.spec.ts › Score calculations › caso 2 (4.5s)
tests  |   ✓  34 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 1 (2.9s)
tests  |   ✓  35 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 2 (4.9s)
tests  |   ✓  36 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 1 (5.0s)
tests  |   ✓  37 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 2 (6.8s)
tests  |   ✓  38 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 3 (4.0s)
tests  |   ✓  39 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 4 (3.6s)
tests  |   -  40 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 5
tests  |   ✓  41 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 6 (3.9s)
tests  |   ✓  42 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 7 (3.8s)
tests  |   ✓  43 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 8 (3.6s)
tests  |   ✓  44 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 9 (3.7s)
tests  |   ✓  45 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 10 (4.1s)
tests  |   ✓  46 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 11 (3.8s)
tests  |   ✓  47 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 12 (3.5s)
tests  |   ✓  48 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 13 (6.2s)
tests  |   ✓  49 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 14 (7.3s)
tests  |   ✓  50 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 15 (5.4s)
tests  |   ✓  51 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 16 (4.8s)
tests  |   ✓  52 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 17 (4.3s)
tests  |   ✓  53 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 18 (3.9s)
