tests  |   ✓   1 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 21 (4.9s)
tests  |   ✓   2 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 22 (3.9s)
tests  |   ✓   3 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 23 (3.7s)
tests  |   ✓   4 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 24 (3.5s)
tests  |   ✓   5 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 25 (3.3s)
tests  |   ✓   6 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 26 (4.4s)
tests  |   ✓   7 [chrome] › src/tests/rules/asset.spec.ts › Asset › caso 27 (4.3s)
tests  |   ✓   8 [chrome] › src/tests/rules/license.spec.ts › License › caso 1 (3.9s)
tests  |   ✓   9 [chrome] › src/tests/rules/project-dashboard.spec.ts › Project dashboard › caso 2 (13.2s)
tests  |   ✓  10 [chrome] › src/tests/rules/project-list.spec.ts › Project list › caso 5 (6.0s)
tests  |   ✓  11 [chrome] › src/tests/rules/project-list.spec.ts › Project list › caso 6 (1.7s)
tests  |   ✓  12 [chrome] › src/tests/rules/score-calculations.spec.ts › Score calculations › caso 3 (4.5s)
tests  |   ✘  13 [chrome] › src/tests/rules/score-calculations.spec.ts › Score calculations › caso 4 (1.7m)
tests  |   ✓  14 [chrome] › src/tests/rules/score-calculations.spec.ts › Score calculations › caso 4 (4.7s)
tests  |   ✓  15 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 3 (4.8s)
tests  |   ✓  16 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 4 (49.8s)
tests  |   ✓  17 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 5 (52.7s)
tests  |   -  18 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 6
tests  |   ✓  19 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 7 (48.2s)
tests  |   ✓  20 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 8 (44.8s)
tests  |   ✓  21 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 9 (48.2s)
tests  |   ✓  22 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 10 (46.7s)
tests  |   ✓  23 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 11 (53.2s)
tests  |   ✓  24 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 12 (53.5s)
tests  |   ✓  25 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 13 (47.2s)
tests  |   ✓  26 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 14 (52.5s)
tests  |   -  27 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 15
tests  |   ✓  28 [chrome] › src/tests/rules/rules.spec.ts › Rules › caso 16 (1.3m)
tests  |   ✓  29 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 19 (4.8s)
tests  |   ✓  30 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 20 (4.2s)
tests  |   ✓  31 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 21 (3.8s)
tests  |   ✓  32 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 22 (3.7s)
tests  |   ✓  33 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 23 (4.1s)
tests  |   ✓  34 [chrome] › src/tests/rules/standard.spec.ts › Standard › caso 24 (4.1s)
